action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,PLA002,escalate,12,19.8,Proposed
ACT0002,PLA024,automate,44,20.9,In Review
ACT0003,PLA035,automate,36,15.1,Proposed
ACT0004,PLA011,validate,5,15.3,Ready
ACT0005,PLA033,escalate,12,11.1,In Review
ACT0006,PLA028,prioritize,20,15.2,Ready
ACT0007,PLA028,validate,7,5.3,Ready
ACT0008,PLA014,prioritize,21,7.8,Ready
ACT0009,PLA036,monitor,27,15.0,Proposed
ACT0010,PLA020,validate,19,15.3,Ready
ACT0011,PLA016,escalate,4,15.8,Proposed
ACT0012,PLA034,prioritize,39,20.0,Proposed
ACT0013,PLA013,validate,15,9.3,Ready
ACT0014,PLA016,monitor,40,23.2,Ready
ACT0015,PLA004,monitor,41,7.9,Ready
ACT0016,PLA035,monitor,32,22.6,Ready
ACT0017,PLA006,prioritize,42,11.1,In Review
ACT0018,PLA032,document,2,2.2,Complete
ACT0019,PLA030,monitor,29,13.1,Complete
ACT0020,PLA001,prioritize,4,21.4,Proposed
ACT0021,PLA029,automate,26,15.8,Proposed
ACT0022,PLA026,validate,12,16.6,Ready
ACT0023,PLA034,monitor,15,19.6,In Review
ACT0024,PLA029,document,27,17.6,In Review
ACT0025,PLA029,automate,41,13.8,In Review
ACT0026,PLA009,document,32,16.9,Proposed
ACT0027,PLA030,monitor,16,6.3,In Review
ACT0028,PLA027,document,31,15.5,Ready
ACT0029,PLA024,escalate,5,14.2,In Review
ACT0030,PLA035,prioritize,4,13.7,Complete
ACT0031,PLA019,validate,7,22.4,Ready
ACT0032,PLA022,escalate,5,13.1,Complete
ACT0033,PLA001,escalate,44,13.2,Ready
ACT0034,PLA034,prioritize,29,13.1,In Review
ACT0035,PLA003,prioritize,11,21.5,Proposed
ACT0036,PLA002,validate,14,7.9,In Review
ACT0037,PLA003,escalate,19,21.7,Complete
ACT0038,PLA019,automate,23,6.6,Complete
ACT0039,PLA027,prioritize,17,20.2,Complete
ACT0040,PLA007,prioritize,5,8.8,Proposed
ACT0041,PLA030,prioritize,12,13.7,In Review
ACT0042,PLA033,validate,40,13.9,Complete
ACT0043,PLA018,prioritize,23,14.0,Complete
ACT0044,PLA029,monitor,44,8.2,Ready
ACT0045,PLA020,validate,20,9.4,In Review
ACT0046,PLA025,document,25,22.4,In Review
ACT0047,PLA017,monitor,14,13.0,Ready
ACT0048,PLA002,escalate,15,4.9,In Review
ACT0049,PLA001,automate,31,10.0,Complete
ACT0050,PLA014,automate,39,6.4,Complete
ACT0051,PLA006,monitor,15,13.6,Proposed
ACT0052,PLA017,prioritize,34,21.3,Ready
ACT0053,PLA001,monitor,40,11.2,In Review
ACT0054,PLA024,monitor,37,15.5,Proposed
ACT0055,PLA026,monitor,36,16.8,Complete
ACT0056,PLA015,monitor,22,18.0,Ready
ACT0057,PLA027,prioritize,32,19.7,Proposed
ACT0058,PLA028,monitor,7,18.3,Proposed
ACT0059,PLA011,automate,9,7.9,Proposed
ACT0060,PLA006,escalate,35,11.9,In Review
ACT0061,PLA010,automate,43,3.3,Proposed
ACT0062,PLA034,monitor,3,8.4,Proposed
ACT0063,PLA027,validate,6,18.8,Proposed
ACT0064,PLA006,monitor,12,5.1,In Review
ACT0065,PLA010,automate,44,18.2,Ready
ACT0066,PLA025,prioritize,38,4.1,Complete
ACT0067,PLA030,prioritize,19,2.3,Complete
ACT0068,PLA021,validate,42,18.7,Complete
ACT0069,PLA018,escalate,17,15.1,Ready
ACT0070,PLA013,monitor,41,19.5,In Review
ACT0071,PLA026,monitor,29,22.0,Complete
ACT0072,PLA033,escalate,24,3.8,In Review
ACT0073,PLA034,monitor,21,17.8,In Review
ACT0074,PLA031,escalate,37,23.6,In Review
ACT0075,PLA027,prioritize,10,16.4,In Review
ACT0076,PLA006,automate,6,23.2,Complete
ACT0077,PLA012,monitor,17,11.9,Complete
ACT0078,PLA014,automate,39,20.0,Proposed
ACT0079,PLA012,prioritize,26,3.0,In Review
ACT0080,PLA002,automate,32,3.7,Ready
ACT0081,PLA024,validate,43,5.7,In Review
ACT0082,PLA009,validate,8,10.2,Complete
ACT0083,PLA022,document,33,14.2,Complete
ACT0084,PLA005,escalate,34,11.7,In Review
ACT0085,PLA002,document,34,8.8,Proposed
ACT0086,PLA020,validate,41,7.5,Ready
ACT0087,PLA013,document,11,3.4,Complete
ACT0088,PLA001,document,42,12.6,Proposed
ACT0089,PLA021,automate,42,3.9,Ready
ACT0090,PLA002,validate,5,6.6,Proposed
ACT0091,PLA014,monitor,35,13.6,In Review
ACT0092,PLA029,validate,30,11.5,In Review
ACT0093,PLA013,monitor,26,21.7,In Review
ACT0094,PLA025,escalate,22,20.4,Ready
ACT0095,PLA028,validate,9,2.4,Proposed
ACT0096,PLA015,document,22,7.8,Ready
ACT0097,PLA001,validate,24,9.3,Complete
ACT0098,PLA003,prioritize,4,12.9,Complete
ACT0099,PLA017,monitor,20,19.4,Complete
ACT0100,PLA025,monitor,16,13.0,Proposed
ACT0101,PLA001,escalate,18,8.0,In Review
ACT0102,PLA022,prioritize,27,5.1,Proposed
ACT0103,PLA028,monitor,19,11.0,Proposed
ACT0104,PLA013,escalate,9,15.5,In Review
ACT0105,PLA029,escalate,35,12.9,In Review
ACT0106,PLA027,prioritize,33,16.5,Complete
ACT0107,PLA015,document,20,3.1,Proposed
ACT0108,PLA036,document,39,19.6,Complete
ACT0109,PLA012,monitor,33,18.5,Complete
ACT0110,PLA015,automate,29,20.6,Proposed
ACT0111,PLA029,escalate,40,13.4,In Review
ACT0112,PLA029,prioritize,40,10.3,Ready
ACT0113,PLA036,escalate,34,8.8,Proposed
ACT0114,PLA024,document,43,7.4,Ready
ACT0115,PLA012,prioritize,23,15.3,Proposed
ACT0116,PLA030,prioritize,34,5.1,Proposed
ACT0117,PLA019,validate,12,9.0,Proposed
ACT0118,PLA009,automate,35,9.4,In Review
ACT0119,PLA036,escalate,25,19.6,Ready
ACT0120,PLA001,monitor,13,8.4,Proposed
ACT0121,PLA023,validate,6,15.4,Ready
ACT0122,PLA026,automate,3,22.2,In Review
ACT0123,PLA013,document,9,13.7,Complete
ACT0124,PLA032,escalate,26,21.9,Ready
ACT0125,PLA021,document,23,16.5,Proposed
ACT0126,PLA031,automate,36,15.3,In Review
ACT0127,PLA033,document,15,10.0,Complete
ACT0128,PLA036,prioritize,42,2.3,Proposed
ACT0129,PLA009,validate,31,22.1,In Review
ACT0130,PLA028,automate,30,19.2,Ready
ACT0131,PLA023,automate,39,22.5,Proposed
ACT0132,PLA024,escalate,43,18.1,Ready
ACT0133,PLA018,document,35,17.9,Proposed
ACT0134,PLA010,prioritize,28,12.7,Ready
ACT0135,PLA023,validate,32,12.4,Complete
ACT0136,PLA002,prioritize,30,2.4,In Review
ACT0137,PLA006,prioritize,8,12.7,Complete
ACT0138,PLA033,validate,27,24.0,Proposed
ACT0139,PLA017,automate,19,7.2,Ready
ACT0140,PLA009,document,32,3.0,Ready
ACT0141,PLA027,validate,32,20.7,In Review
ACT0142,PLA027,escalate,18,5.8,Complete
ACT0143,PLA034,monitor,29,5.5,Ready
ACT0144,PLA012,escalate,34,7.2,In Review
ACT0145,PLA019,validate,35,2.4,In Review
ACT0146,PLA008,prioritize,26,18.1,In Review
